        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
 2020-02-03 00:03:28-03 | 2020-02-03 00:03:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14946.6 | 14938.7
 2020-02-03 00:03:32-03 | 2020-02-03 00:03:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14946.6 | 14960.5
 2020-02-03 00:03:36-03 | 2020-02-03 00:03:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14960.5 | 14967.9
 2020-02-03 00:03:40-03 | 2020-02-03 00:03:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14960.5 | 14952.4
 2020-02-03 00:03:44-03 | 2020-02-03 00:03:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14960.5 | 14970.4
 2020-02-03 00:03:48-03 | 2020-02-03 00:03:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14960.5 | 14978.8
 2020-02-03 00:03:52-03 | 2020-02-03 00:04:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14960.5 | 14964.8
 2020-02-03 00:04:00-03 | 2020-02-03 00:04:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14964.8 | 14956.2
 2020-02-03 00:04:04-03 | 2020-02-03 00:04:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14964.8 | 14956.4
 2020-02-03 00:04:08-03 | 2020-02-03 00:04:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14964.8 | 14984.7
 2020-02-03 00:04:12-03 | 2020-02-03 00:04:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14964.8 | 14952.1
 2020-02-03 00:04:16-03 | 2020-02-03 00:04:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14952.1 | 14976.7
 2020-02-03 00:04:20-03 | 2020-02-03 00:04:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14952.1 |   14961
 2020-02-03 00:04:28-03 | 2020-02-03 00:04:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14952.1 | 14927.9
 2020-02-03 00:04:36-03 | 2020-02-03 00:04:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14917.5 | 14917.5
 2020-02-03 00:04:40-03 | 2020-02-03 00:04:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14917.5 | 14928.1
 2020-02-03 00:04:44-03 | 2020-02-03 00:04:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14917.5 | 14903.7
 2020-02-03 00:04:48-03 | 2020-02-03 00:04:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14917.5 | 14919.2
 2020-02-03 00:04:56-03 | 2020-02-03 00:05:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14919.2 | 14903.4
 2020-02-03 00:05:04-03 | 2020-02-03 00:05:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14919.2 | 14896.2
 2020-02-03 00:05:08-03 | 2020-02-03 00:05:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14919.2 | 14894.3
 2020-02-03 00:05:16-03 | 2020-02-03 00:05:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14894.3 | 14898.5
 2020-02-03 00:05:20-03 | 2020-02-03 00:05:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14894.3 | 14907.2
 2020-02-03 00:05:24-03 | 2020-02-03 00:05:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14894.3 | 14878.6
 2020-02-03 00:05:32-03 | 2020-02-03 00:05:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14894.3 | 14884.8
 2020-02-03 00:05:36-03 | 2020-02-03 00:05:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14882.4 | 14865.9
 2020-02-03 00:05:40-03 | 2020-02-03 00:05:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14882.4 | 14842.3
 2020-02-03 00:05:44-03 | 2020-02-03 00:05:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14882.4 | 14829.3
 2020-02-03 00:05:48-03 | 2020-02-03 00:05:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14882.4 | 14835.5
 2020-02-03 00:05:52-03 | 2020-02-03 00:05:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14882.4 | 14825.1
 2020-02-03 00:05:56-03 | 2020-02-03 00:06:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14825.1 | 14824.6
 2020-02-03 00:06:00-03 | 2020-02-03 00:06:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14825.1 |   14814
 2020-02-03 00:06:04-03 | 2020-02-03 00:06:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14825.1 | 14815.6
 2020-02-03 00:06:08-03 | 2020-02-03 00:06:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14825.1 | 14822.9
 2020-02-03 00:06:12-03 | 2020-02-03 00:06:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14825.1 | 14819.2
 2020-02-03 00:06:20-03 | 2020-02-03 00:06:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14819.2 | 14836.8
 2020-02-03 00:06:24-03 | 2020-02-03 00:06:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14819.2 | 14835.7
 2020-02-03 00:06:32-03 | 2020-02-03 00:06:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14819.2 | 14849.9
 2020-02-03 00:06:36-03 | 2020-02-03 00:06:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14849.9 | 14850.9
 2020-02-03 00:06:40-03 | 2020-02-03 00:06:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14849.9 | 14839.6
 2020-02-03 00:06:44-03 | 2020-02-03 00:06:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14849.9 | 14847.8
 2020-02-03 00:06:52-03 | 2020-02-03 00:06:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14849.9 | 14849.5
 2020-02-03 00:06:56-03 | 2020-02-03 00:07:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14849.5 | 14850.5
 2020-02-03 00:07:00-03 | 2020-02-03 00:07:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14849.5 |   14836
 2020-02-03 00:07:04-03 | 2020-02-03 00:07:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14849.5 | 14856.7
 2020-02-03 00:07:12-03 | 2020-02-03 00:07:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14849.5 | 14825.2
 2020-02-03 00:07:16-03 | 2020-02-03 00:07:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14825.2 | 14841.3
 2020-02-03 00:07:20-03 | 2020-02-03 00:07:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 14825.2 | 14826.3
