        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
------------------------+------------------------+----------+-------------+-----------+---------+---------+-------+---------+---------
 2020-02-02 00:00:00-03 | 2020-02-02 00:00:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15270.1 | 15239.9
 2020-02-02 00:00:04-03 | 2020-02-02 00:00:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15239.9 | 15241.8
 2020-02-02 00:00:12-03 | 2020-02-02 00:00:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15239.9 | 15241.4
 2020-02-02 00:00:16-03 | 2020-02-02 00:00:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15239.9 |   15254
 2020-02-02 00:00:24-03 | 2020-02-02 00:00:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15254 | 15220.9
 2020-02-02 00:00:28-03 | 2020-02-02 00:00:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15254 | 15237.5
 2020-02-02 00:00:36-03 | 2020-02-02 00:00:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15254 | 15253.5
 2020-02-02 00:00:44-03 | 2020-02-02 00:00:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15253.5 | 15254.4
 2020-02-02 00:00:48-03 | 2020-02-02 00:00:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15253.5 | 15250.9
 2020-02-02 00:00:52-03 | 2020-02-02 00:00:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15253.5 | 15249.3
 2020-02-02 00:00:56-03 | 2020-02-02 00:01:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15253.5 | 15248.2
 2020-02-02 00:01:04-03 | 2020-02-02 00:01:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15248.2 | 15245.1
 2020-02-02 00:01:12-03 | 2020-02-02 00:01:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15248.2 | 15251.5
 2020-02-02 00:01:16-03 | 2020-02-02 00:01:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15248.2 | 15241.8
 2020-02-02 00:01:20-03 | 2020-02-02 00:01:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15248.2 |   15243
 2020-02-02 00:01:24-03 | 2020-02-02 00:01:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15243 | 15237.3
 2020-02-02 00:01:28-03 | 2020-02-02 00:01:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15243 | 15237.6
 2020-02-02 00:01:32-03 | 2020-02-02 00:01:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15243 | 15247.2
 2020-02-02 00:01:40-03 | 2020-02-02 00:01:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15243 | 15207.7
 2020-02-02 00:01:44-03 | 2020-02-02 00:01:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15207.7 | 15216.7
 2020-02-02 00:01:52-03 | 2020-02-02 00:01:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15207.7 | 15233.8
 2020-02-02 00:01:56-03 | 2020-02-02 00:02:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15207.7 | 15220.4
 2020-02-02 00:02:00-03 | 2020-02-02 00:02:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15207.7 | 15209.6
 2020-02-02 00:02:04-03 | 2020-02-02 00:02:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15209.6 | 15221.8
 2020-02-02 00:02:08-03 | 2020-02-02 00:02:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15209.6 | 15199.1
 2020-02-02 00:02:12-03 | 2020-02-02 00:02:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15209.6 |   15213
 2020-02-02 00:02:16-03 | 2020-02-02 00:02:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15209.6 | 15208.5
 2020-02-02 00:02:20-03 | 2020-02-02 00:02:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15209.6 | 15232.4
 2020-02-02 00:02:24-03 | 2020-02-02 00:02:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15232.4 | 15230.8
 2020-02-02 00:02:28-03 | 2020-02-02 00:02:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15232.4 | 15228.6
 2020-02-02 00:02:32-03 | 2020-02-02 00:02:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15232.4 | 15232.4
 2020-02-02 00:02:36-03 | 2020-02-02 00:02:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15232.4 | 15224.4
 2020-02-02 00:02:40-03 | 2020-02-02 00:02:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15232.4 | 15226.6
 2020-02-02 00:02:44-03 | 2020-02-02 00:02:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15226.6 | 15218.2
 2020-02-02 00:02:48-03 | 2020-02-02 00:02:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15226.6 | 15211.5
 2020-02-02 00:02:56-03 | 2020-02-02 00:03:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15226.6 |   15224
 2020-02-02 00:03:00-03 | 2020-02-02 00:03:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15226.6 | 15224.8
 2020-02-02 00:03:04-03 | 2020-02-02 00:03:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15205.8 | 15205.8
 2020-02-02 00:03:08-03 | 2020-02-02 00:03:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15205.8 | 15206.6
 2020-02-02 00:03:12-03 | 2020-02-02 00:03:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15205.8 | 15197.5
 2020-02-02 00:03:16-03 | 2020-02-02 00:03:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15205.8 | 15211.5
 2020-02-02 00:03:20-03 | 2020-02-02 00:03:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15205.8 |   15211
 2020-02-02 00:03:24-03 | 2020-02-02 00:03:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15211 | 15188.1
 2020-02-02 00:03:28-03 | 2020-02-02 00:03:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15211 | 15195.4
 2020-02-02 00:03:32-03 | 2020-02-02 00:03:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15211 | 15193.4
 2020-02-02 00:03:36-03 | 2020-02-02 00:03:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15211 | 15181.6
 2020-02-02 00:03:40-03 | 2020-02-02 00:03:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15211 | 15191.6
 2020-02-02 00:03:44-03 | 2020-02-02 00:03:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15191.6 |   15197
 2020-02-02 00:03:48-03 | 2020-02-02 00:03:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15191.6 | 15197.3
 2020-02-02 00:03:52-03 | 2020-02-02 00:03:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15191.6 | 15201.8
 2020-02-02 00:03:56-03 | 2020-02-02 00:04:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15191.6 | 15198.8
 2020-02-02 00:04:00-03 | 2020-02-02 00:04:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15191.6 | 15195.4
 2020-02-02 00:04:04-03 | 2020-02-02 00:04:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15178.2 | 15185.5
 2020-02-02 00:04:08-03 | 2020-02-02 00:04:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15178.2 | 15180.9
 2020-02-02 00:04:12-03 | 2020-02-02 00:04:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15178.2 | 15151.9
 2020-02-02 00:04:16-03 | 2020-02-02 00:04:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15178.2 |   15152
 2020-02-02 00:04:20-03 | 2020-02-02 00:04:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15178.2 | 15147.3
 2020-02-02 00:04:24-03 | 2020-02-02 00:04:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15147.3 |   15141
 2020-02-02 00:04:32-03 | 2020-02-02 00:04:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15147.3 | 15168.1
 2020-02-02 00:04:40-03 | 2020-02-02 00:04:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15147.3 |   15175
 2020-02-02 00:04:44-03 | 2020-02-02 00:04:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15175 | 15176.1
 2020-02-02 00:04:48-03 | 2020-02-02 00:04:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15175 | 15169.8
 2020-02-02 00:04:52-03 | 2020-02-02 00:05:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15175 | 15169.5
 2020-02-02 00:05:00-03 | 2020-02-02 00:05:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15175 | 15167.1
 2020-02-02 00:05:04-03 | 2020-02-02 00:05:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15171.8 | 15171.8
 2020-02-02 00:05:08-03 | 2020-02-02 00:05:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15171.8 | 15174.2
 2020-02-02 00:05:12-03 | 2020-02-02 00:05:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15171.8 | 15157.7
 2020-02-02 00:05:16-03 | 2020-02-02 00:05:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15171.8 | 15170.6
 2020-02-02 00:05:20-03 | 2020-02-02 00:05:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15171.8 | 15164.8
