        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
------------------------+------------------------+----------+-------------+-----------+---------+---------+-------+---------+---------
 2020-02-04 00:00:00-03 | 2020-02-04 00:00:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16299.3 | 16354.2
 2020-02-04 00:00:04-03 | 2020-02-04 00:00:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16331.5 | 16331.5
 2020-02-04 00:00:12-03 | 2020-02-04 00:00:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16331.5 | 16019.6
 2020-02-04 00:00:16-03 | 2020-02-04 00:00:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16331.5 |   16012
 2020-02-04 00:00:24-03 | 2020-02-04 00:00:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16012 | 16026.9
 2020-02-04 00:00:32-03 | 2020-02-04 00:00:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16012 | 16008.9
 2020-02-04 00:00:36-03 | 2020-02-04 00:00:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16012 | 16004.3
 2020-02-04 00:00:44-03 | 2020-02-04 00:00:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16005.3 | 15982.2
 2020-02-04 00:00:48-03 | 2020-02-04 00:00:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16005.3 | 15974.5
 2020-02-04 00:00:52-03 | 2020-02-04 00:00:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16005.3 |   15975
 2020-02-04 00:00:56-03 | 2020-02-04 00:01:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16005.3 | 15981.7
 2020-02-04 00:01:00-03 | 2020-02-04 00:01:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16005.3 | 15982.5
 2020-02-04 00:01:04-03 | 2020-02-04 00:01:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15952 | 15956.7
 2020-02-04 00:01:12-03 | 2020-02-04 00:01:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15952 | 16248.4
 2020-02-04 00:01:16-03 | 2020-02-04 00:01:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   15952 | 16240.5
 2020-02-04 00:01:24-03 | 2020-02-04 00:01:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16245.2 | 16256.2
