        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
------------------------+------------------------+----------+-------------+-----------+---------+---------+-------+---------+---------
 2020-02-09 00:00:00-03 | 2020-02-09 00:00:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15654.7 | 15646.9
 2020-02-09 00:00:04-03 | 2020-02-09 00:00:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15654.7 |   15636
 2020-02-09 00:00:12-03 | 2020-02-09 00:00:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15654.7 | 15639.2
 2020-02-09 00:00:16-03 | 2020-02-09 00:00:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15625.7 | 15638.8
 2020-02-09 00:00:20-03 | 2020-02-09 00:00:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15625.7 | 15640.8
 2020-02-09 00:00:24-03 | 2020-02-09 00:00:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15625.7 | 15620.5
 2020-02-09 00:00:32-03 | 2020-02-09 00:00:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15625.7 | 15594.7
 2020-02-09 00:00:36-03 | 2020-02-09 00:00:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15608.7 | 15595.6
 2020-02-09 00:00:40-03 | 2020-02-09 00:00:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15608.7 |   15583
 2020-02-09 00:00:44-03 | 2020-02-09 00:00:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15608.7 | 15582.7
 2020-02-09 00:00:48-03 | 2020-02-09 00:00:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15608.7 | 15576.1
 2020-02-09 00:00:52-03 | 2020-02-09 00:01:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15608.7 | 15605.7
 2020-02-09 00:01:00-03 | 2020-02-09 00:01:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15606.3 | 15607.4
 2020-02-09 00:01:08-03 | 2020-02-09 00:01:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 15606.3 | 15598.5
