        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
------------------------+------------------------+----------+-------------+-----------+---------+---------+-------+---------+---------
 2020-02-01 00:00:00-03 | 2020-02-01 00:00:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18086.3 | 18076.9
 2020-02-01 00:00:08-03 | 2020-02-01 00:00:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18076.9 | 18074.2
 2020-02-01 00:00:12-03 | 2020-02-01 00:00:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18076.9 | 18051.7
 2020-02-01 00:00:16-03 | 2020-02-01 00:00:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18076.9 | 18076.1
 2020-02-01 00:00:20-03 | 2020-02-01 00:00:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18076.9 | 18071.1
 2020-02-01 00:00:28-03 | 2020-02-01 00:00:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18071.1 | 18095.5
 2020-02-01 00:00:32-03 | 2020-02-01 00:00:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18071.1 |   18058
 2020-02-01 00:00:36-03 | 2020-02-01 00:00:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18071.1 | 18055.2
 2020-02-01 00:00:40-03 | 2020-02-01 00:00:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18071.1 | 18053.9
 2020-02-01 00:00:44-03 | 2020-02-01 00:00:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18053.9 |   18048
 2020-02-01 00:00:48-03 | 2020-02-01 00:00:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18053.9 | 18036.1
 2020-02-01 00:00:52-03 | 2020-02-01 00:00:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18053.9 | 18029.7
 2020-02-01 00:00:56-03 | 2020-02-01 00:01:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18053.9 | 18042.2
 2020-02-01 00:01:00-03 | 2020-02-01 00:01:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18053.9 | 18043.6
 2020-02-01 00:01:04-03 | 2020-02-01 00:01:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18043.6 |   18047
 2020-02-01 00:01:08-03 | 2020-02-01 00:01:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18043.6 | 18031.4
 2020-02-01 00:01:12-03 | 2020-02-01 00:01:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18043.6 | 18033.7
 2020-02-01 00:01:16-03 | 2020-02-01 00:01:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18043.6 | 18034.9
 2020-02-01 00:01:20-03 | 2020-02-01 00:01:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18043.6 | 18029.9
 2020-02-01 00:01:24-03 | 2020-02-01 00:01:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18029.9 | 18046.8
 2020-02-01 00:01:28-03 | 2020-02-01 00:01:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18029.9 | 18041.4
 2020-02-01 00:01:32-03 | 2020-02-01 00:01:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18029.9 | 18045.2
 2020-02-01 00:01:36-03 | 2020-02-01 00:01:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18029.9 | 18056.4
 2020-02-01 00:01:44-03 | 2020-02-01 00:01:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18047.6 | 18061.2
 2020-02-01 00:01:48-03 | 2020-02-01 00:01:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18047.6 | 18055.7
 2020-02-01 00:01:52-03 | 2020-02-01 00:01:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18047.6 | 18056.2
 2020-02-01 00:01:56-03 | 2020-02-01 00:02:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18047.6 | 18057.4
 2020-02-01 00:02:00-03 | 2020-02-01 00:02:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18047.6 | 18054.2
 2020-02-01 00:02:04-03 | 2020-02-01 00:02:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18054.2 | 18048.7
 2020-02-01 00:02:12-03 | 2020-02-01 00:02:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 18054.2 |   18042
