        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
------------------------+------------------------+----------+-------------+-----------+---------+---------+-------+---------+---------
 2020-02-07 00:00:00-03 | 2020-02-07 00:00:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 17072.9 | 17013.6
 2020-02-07 00:00:04-03 | 2020-02-07 00:00:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 17072.9 | 17024.8
 2020-02-07 00:00:12-03 | 2020-02-07 00:00:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 17072.9 | 17024.3
 2020-02-07 00:00:16-03 | 2020-02-07 00:00:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 17024.3 | 17001.1
 2020-02-07 00:00:24-03 | 2020-02-07 00:00:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 17024.3 | 17033.6
 2020-02-07 00:00:28-03 | 2020-02-07 00:00:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 17024.3 | 16868.3
 2020-02-07 00:00:36-03 | 2020-02-07 00:00:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16868.3 | 16871.7
 2020-02-07 00:00:44-03 | 2020-02-07 00:00:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16868.3 | 16875.6
 2020-02-07 00:00:48-03 | 2020-02-07 00:00:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16868.3 | 16837.3
 2020-02-07 00:00:52-03 | 2020-02-07 00:00:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16868.3 | 16851.9
 2020-02-07 00:00:56-03 | 2020-02-07 00:01:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16837.3 |   16812
 2020-02-07 00:01:04-03 | 2020-02-07 00:01:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16837.3 |   16821
 2020-02-07 00:01:08-03 | 2020-02-07 00:01:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16837.3 | 16797.2
 2020-02-07 00:01:12-03 | 2020-02-07 00:01:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16837.3 | 16847.3
 2020-02-07 00:01:16-03 | 2020-02-07 00:01:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16797.2 | 16806.3
 2020-02-07 00:01:20-03 | 2020-02-07 00:01:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16797.2 | 16876.7
 2020-02-07 00:01:24-03 | 2020-02-07 00:01:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16797.2 | 16825.1
 2020-02-07 00:01:32-03 | 2020-02-07 00:01:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16797.2 | 16847.5
 2020-02-07 00:01:36-03 | 2020-02-07 00:01:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16847.5 | 16807.7
 2020-02-07 00:01:40-03 | 2020-02-07 00:01:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16847.5 | 16834.6
 2020-02-07 00:01:44-03 | 2020-02-07 00:01:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16847.5 | 16787.9
 2020-02-07 00:01:48-03 | 2020-02-07 00:01:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16847.5 | 16787.5
 2020-02-07 00:01:52-03 | 2020-02-07 00:01:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16847.5 | 16795.7
 2020-02-07 00:01:56-03 | 2020-02-07 00:02:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16795.7 |   16779
 2020-02-07 00:02:00-03 | 2020-02-07 00:02:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16795.7 | 16850.7
 2020-02-07 00:02:04-03 | 2020-02-07 00:02:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16795.7 | 16807.5
 2020-02-07 00:02:12-03 | 2020-02-07 00:02:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16795.7 | 16827.8
 2020-02-07 00:02:16-03 | 2020-02-07 00:02:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16827.8 | 16735.5
 2020-02-07 00:02:20-03 | 2020-02-07 00:02:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16827.8 | 16723.1
 2020-02-07 00:02:24-03 | 2020-02-07 00:02:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16827.8 | 16701.5
 2020-02-07 00:02:28-03 | 2020-02-07 00:02:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16827.8 | 16713.4
 2020-02-07 00:02:32-03 | 2020-02-07 00:02:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16827.8 |   16749
 2020-02-07 00:02:36-03 | 2020-02-07 00:02:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16711.7 | 16755.9
 2020-02-07 00:02:44-03 | 2020-02-07 00:02:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16711.7 | 16770.1
 2020-02-07 00:02:52-03 | 2020-02-07 00:02:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16711.7 | 16772.5
 2020-02-07 00:02:56-03 | 2020-02-07 00:03:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16772.5 | 16760.9
 2020-02-07 00:03:00-03 | 2020-02-07 00:03:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16772.5 |   16761
 2020-02-07 00:03:04-03 | 2020-02-07 00:03:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16772.5 | 16753.1
 2020-02-07 00:03:12-03 | 2020-02-07 00:03:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16772.5 |   16745
 2020-02-07 00:03:16-03 | 2020-02-07 00:03:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16745 | 16740.4
 2020-02-07 00:03:24-03 | 2020-02-07 00:03:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16745 |   16720
 2020-02-07 00:03:28-03 | 2020-02-07 00:03:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16745 | 16713.6
 2020-02-07 00:03:32-03 | 2020-02-07 00:03:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16745 | 16685.1
 2020-02-07 00:03:36-03 | 2020-02-07 00:03:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16713.6 | 16684.4
 2020-02-07 00:03:40-03 | 2020-02-07 00:03:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16713.6 | 16694.7
 2020-02-07 00:03:44-03 | 2020-02-07 00:03:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16713.6 | 16662.5
 2020-02-07 00:03:52-03 | 2020-02-07 00:04:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16713.6 | 16704.2
 2020-02-07 00:04:00-03 | 2020-02-07 00:04:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16696.7 | 16703.9
 2020-02-07 00:04:04-03 | 2020-02-07 00:04:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16696.7 |   16662
 2020-02-07 00:04:08-03 | 2020-02-07 00:04:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16696.7 | 16660.5
 2020-02-07 00:04:12-03 | 2020-02-07 00:04:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16696.7 | 16649.8
 2020-02-07 00:04:16-03 | 2020-02-07 00:04:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16660.5 | 16654.3
 2020-02-07 00:04:20-03 | 2020-02-07 00:04:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16660.5 |   16663
 2020-02-07 00:04:24-03 | 2020-02-07 00:04:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16660.5 | 16657.8
 2020-02-07 00:04:32-03 | 2020-02-07 00:04:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16660.5 | 16707.4
 2020-02-07 00:04:36-03 | 2020-02-07 00:04:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16707.4 | 16711.4
 2020-02-07 00:04:40-03 | 2020-02-07 00:04:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16707.4 | 16718.9
 2020-02-07 00:04:44-03 | 2020-02-07 00:04:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16707.4 | 16715.1
 2020-02-07 00:04:52-03 | 2020-02-07 00:05:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16707.4 | 16744.9
 2020-02-07 00:05:00-03 | 2020-02-07 00:05:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16737.4 | 16766.8
 2020-02-07 00:05:04-03 | 2020-02-07 00:05:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16737.4 | 16758.4
 2020-02-07 00:05:08-03 | 2020-02-07 00:05:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16737.4 | 16770.9
