        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
------------------------+------------------------+----------+-------------+-----------+---------+---------+-------+---------+---------
 2020-02-05 00:00:00-03 | 2020-02-05 00:00:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16691.7 |   16702
 2020-02-05 00:00:04-03 | 2020-02-05 00:00:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16701.7 | 16701.7
 2020-02-05 00:00:08-03 | 2020-02-05 00:00:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16701.7 | 16693.5
 2020-02-05 00:00:12-03 | 2020-02-05 00:00:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16701.7 | 16390.8
 2020-02-05 00:00:16-03 | 2020-02-05 00:00:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16701.7 | 16387.3
 2020-02-05 00:00:20-03 | 2020-02-05 00:00:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16701.7 | 16364.9
 2020-02-05 00:00:28-03 | 2020-02-05 00:00:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16364.9 | 16397.9
 2020-02-05 00:00:36-03 | 2020-02-05 00:00:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16364.9 | 16368.1
 2020-02-05 00:00:40-03 | 2020-02-05 00:00:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16364.9 | 16383.4
 2020-02-05 00:00:48-03 | 2020-02-05 00:00:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16383.4 | 16373.4
 2020-02-05 00:00:56-03 | 2020-02-05 00:01:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16383.4 | 16391.8
 2020-02-05 00:01:00-03 | 2020-02-05 00:01:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16383.4 |   16403
 2020-02-05 00:01:04-03 | 2020-02-05 00:01:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16400.2 | 16400.2
 2020-02-05 00:01:08-03 | 2020-02-05 00:01:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16400.2 | 16393.7
 2020-02-05 00:01:12-03 | 2020-02-05 00:01:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16400.2 | 16394.1
 2020-02-05 00:01:16-03 | 2020-02-05 00:01:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16400.2 | 16416.1
 2020-02-05 00:01:20-03 | 2020-02-05 00:01:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16400.2 | 16430.3
 2020-02-05 00:01:24-03 | 2020-02-05 00:01:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16430.3 | 16425.1
 2020-02-05 00:01:28-03 | 2020-02-05 00:01:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16430.3 | 16415.3
