        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
------------------------+------------------------+----------+-------------+-----------+---------+---------+-------+---------+---------
 2020-02-06 00:00:00-03 | 2020-02-06 00:00:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16663.3 | 16652.7
 2020-02-06 00:00:12-03 | 2020-02-06 00:00:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16663.3 | 16626.4
 2020-02-06 00:00:16-03 | 2020-02-06 00:00:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16626.4 | 16638.2
 2020-02-06 00:00:24-03 | 2020-02-06 00:00:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16626.4 | 16648.7
 2020-02-06 00:00:28-03 | 2020-02-06 00:00:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16626.4 |   16639
 2020-02-06 00:00:32-03 | 2020-02-06 00:00:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16626.4 | 16645.8
 2020-02-06 00:00:36-03 | 2020-02-06 00:00:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16645.8 | 16634.5
 2020-02-06 00:00:44-03 | 2020-02-06 00:00:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16645.8 | 16629.3
 2020-02-06 00:00:52-03 | 2020-02-06 00:00:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16645.8 | 16670.2
 2020-02-06 00:00:56-03 | 2020-02-06 00:01:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16670.2 |   16634
 2020-02-06 00:01:00-03 | 2020-02-06 00:01:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16670.2 | 16632.1
 2020-02-06 00:01:04-03 | 2020-02-06 00:01:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16670.2 | 16687.8
 2020-02-06 00:01:08-03 | 2020-02-06 00:01:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16670.2 | 16645.4
 2020-02-06 00:01:12-03 | 2020-02-06 00:01:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16670.2 | 16658.6
 2020-02-06 00:01:16-03 | 2020-02-06 00:01:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16658.6 | 16634.4
 2020-02-06 00:01:24-03 | 2020-02-06 00:01:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16658.6 | 16617.7
 2020-02-06 00:01:32-03 | 2020-02-06 00:01:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16658.6 |   16608
 2020-02-06 00:01:36-03 | 2020-02-06 00:01:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16608 | 16629.7
 2020-02-06 00:01:40-03 | 2020-02-06 00:01:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16608 | 16604.8
 2020-02-06 00:01:48-03 | 2020-02-06 00:01:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16608 | 16600.5
 2020-02-06 00:01:52-03 | 2020-02-06 00:01:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 |   16608 | 16596.3
 2020-02-06 00:01:56-03 | 2020-02-06 00:02:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16596.3 | 16563.3
 2020-02-06 00:02:04-03 | 2020-02-06 00:02:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16596.3 | 16575.2
 2020-02-06 00:02:08-03 | 2020-02-06 00:02:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16596.3 | 16538.9
 2020-02-06 00:02:16-03 | 2020-02-06 00:02:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16538.9 | 16541.1
 2020-02-06 00:02:20-03 | 2020-02-06 00:02:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16538.9 | 16518.2
 2020-02-06 00:02:28-03 | 2020-02-06 00:02:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16538.9 | 16519.9
 2020-02-06 00:02:32-03 | 2020-02-06 00:02:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16538.9 | 16520.1
 2020-02-06 00:02:40-03 | 2020-02-06 00:02:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16520.1 |   16532
