        bh_dthr         |      bh_dthr_fim       | bh_chave | bh_variacao |   flag    | flagest | resnorm | rgalr | valest  |  valor  
------------------------+------------------------+----------+-------------+-----------+---------+---------+-------+---------+---------
 2020-02-08 00:00:00-03 | 2020-02-08 00:00:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16819.7 | 16806.5
 2020-02-08 00:00:04-03 | 2020-02-08 00:00:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16804.5 | 16804.5
 2020-02-08 00:00:08-03 | 2020-02-08 00:00:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16804.5 | 16806.6
 2020-02-08 00:00:12-03 | 2020-02-08 00:00:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16804.5 | 16791.6
 2020-02-08 00:00:16-03 | 2020-02-08 00:00:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16804.5 | 16773.2
 2020-02-08 00:00:20-03 | 2020-02-08 00:00:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16804.5 | 16772.8
 2020-02-08 00:00:24-03 | 2020-02-08 00:00:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16772.8 | 16780.2
 2020-02-08 00:00:28-03 | 2020-02-08 00:00:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16772.8 | 16780.4
 2020-02-08 00:00:32-03 | 2020-02-08 00:00:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16772.8 | 16780.6
 2020-02-08 00:00:36-03 | 2020-02-08 00:00:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16772.8 | 16784.1
 2020-02-08 00:00:40-03 | 2020-02-08 00:00:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16772.8 | 16790.3
 2020-02-08 00:00:44-03 | 2020-02-08 00:00:48-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16790.3 | 16788.6
 2020-02-08 00:00:48-03 | 2020-02-08 00:00:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16790.3 | 16768.3
 2020-02-08 00:00:56-03 | 2020-02-08 00:01:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16790.3 | 16767.8
 2020-02-08 00:01:00-03 | 2020-02-08 00:01:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16790.3 | 16770.4
 2020-02-08 00:01:04-03 | 2020-02-08 00:01:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16770.4 | 16784.8
 2020-02-08 00:01:08-03 | 2020-02-08 00:01:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16770.4 | 16779.4
 2020-02-08 00:01:12-03 | 2020-02-08 00:01:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16770.4 | 16779.3
 2020-02-08 00:01:16-03 | 2020-02-08 00:01:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16770.4 | 16794.3
 2020-02-08 00:01:24-03 | 2020-02-08 00:01:28-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16794.3 | 16784.8
 2020-02-08 00:01:28-03 | 2020-02-08 00:01:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16794.3 | 16797.4
 2020-02-08 00:01:32-03 | 2020-02-08 00:01:40-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16794.3 | 16788.1
 2020-02-08 00:01:40-03 | 2020-02-08 00:01:44-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16794.3 | 16776.4
 2020-02-08 00:01:44-03 | 2020-02-08 00:01:52-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16776.4 | 16773.4
 2020-02-08 00:01:52-03 | 2020-02-08 00:01:56-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16776.4 | 16782.4
 2020-02-08 00:01:56-03 | 2020-02-08 00:02:00-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16776.4 | 16767.5
 2020-02-08 00:02:00-03 | 2020-02-08 00:02:04-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16776.4 | 16766.1
 2020-02-08 00:02:04-03 | 2020-02-08 00:02:08-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16766.1 | 16779.9
 2020-02-08 00:02:08-03 | 2020-02-08 00:02:12-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16766.1 | 16772.9
 2020-02-08 00:02:12-03 | 2020-02-08 00:02:16-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16766.1 | 16762.8
 2020-02-08 00:02:16-03 | 2020-02-08 00:02:20-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16766.1 | 16761.1
 2020-02-08 00:02:20-03 | 2020-02-08 00:02:24-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16766.1 | 16746.4
 2020-02-08 00:02:24-03 | 2020-02-08 00:02:32-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16746.4 | 16747.1
 2020-02-08 00:02:32-03 | 2020-02-08 00:02:36-03 |    24875 |           3 | 134240392 |       2 |       0 |     4 | 16746.4 | 16730.1
